,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added
436,s437,Movie,The Tambour of Retribution,Abdulaziz Alshlahei,"Faisal Al Dokhei, Adwa Fahad, Muhand Alsaleh, Rawya Ahmed, Ajeba Aldosary, Aly Ibrahim, Samer Elkhal, Hashem Hawsawi, Ibrahim Mesisebi, Shabib Alkhaleefa, Abdulateif Saud, Nada Alshehry, Dhay Nasser",Saudi Arabia,2021-07-19,2021,TV-14,91 min,"Dramas, International Movies, Romantic Movies","In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer — a taboo match in a traditional society.",2021.0,7.0
529,s530,Movie,Return of the Prodigal Son,Youssef Chahine,"Majida El Roumi, Souheir El Morshidy, Shoukry Sarhan, Huda Sultan, Mahmoud El Meleigy, Ahmad Mehrez, Hesham Selim",Egypt,2021-07-06,1976,TV-MA,124 min,"Dramas, International Movies","Freed after spending 12 years in jail, a man's homecoming turns into a dark affair as his disillusion clashes with his family's expectations.",2021.0,7.0
859,s860,Movie,Asmaa,Amr Salama,"Hend Sabry, Maged El-Kidwani, Hany Adel, Sayed Rajab, Ahmed Kamal, Boutros Ghaly, Laila Ezz El Arab, Samia Asaad, Fatmah Adel, Mohamad Yones, Mohamed Abd El Azim",Egypt,2021-05-20,2011,TV-14,92 min,"Dramas, International Movies","Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events.",2021.0,5.0
991,s992,Movie,One Like It,Marwan Nabil,"Riham Abdel Ghafour, Mohammed Aly Rizk, Hazem Samir, Salwa Othman, Mahmoud Gharib",Egypt,2021-04-23,2020,TV-G,15 min,"Dramas, Independent Movies, International Movies",This short film follows a day in the life of a young woman in Egypt and how her interactions with others expose long-standing stereotypes and biases.,2021.0,4.0
1201,s1202,TV Show,Abla Fahita: Drama Queen,missing,"Bassem Samra, Donia Maher, Zeina Mansour, Osama Abdallah, Mohamed El Swisi, Rehab Hussien",Egypt,2021-03-15,2021,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Comedies","Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",2021.0,3.0
1229,s1230,TV Show,My Way,missing,"Sherine, Ahmed Fahmi, Bassel Khaiat, Sawsan Badr, Mahmoud El Gendy, Mohammad Adel, Tamim Abdou, Nada Moussa, Tharaa Jubail, Mohamed Mamdouh, Basma Yasser, Laila Ezz El Arab",Egypt,2021-03-06,2015,TV-14,1 Season,"International TV Shows, TV Dramas","In the 1970s, an aspiring singer struggles to prove herself in the face of challenges posed by her strict upbringing and romantic choices.",2021.0,3.0
1511,s1512,Movie,Mohamed Hussein,Muhammad Ali,"Mohamed Saad, Samir Sabri, Mai Selim, Dina Mohsen, Bayoumi Fouad, Mohammed Tharwat, Feryal Youssef, Nabil Issa, Ahmed Seyam, Hassan Abdulfattah, Hamdi Al Wazir, Mohamed Shahin",Egypt,2020-12-20,2019,TV-14,96 min,"Comedies, International Movies",A luxury hotel chauffeur's life is turned upside down when he unexpectedly becomes the focus of a renowned painter's final art project.,2020.0,12.0
1569,s1570,TV Show,Masameer Classics,missing,"Malik Nejer, Abdulaziz Alshehri",Saudi Arabia,2020-12-09,2013,TV-14,4 Seasons,"International TV Shows, TV Comedies","Through dark comedy and eccentric characters, this web series offers a humorous view of the changes and cultural shifts in Saudi Arabia from 2011-2019.",2020.0,12.0
1570,s1571,TV Show,Once Upon a Time,missing,"Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif",Egypt,2020-12-09,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Fighting to save his ancestors' mansion from demolition, Youssef unpacks a series of love stories that took place there with a journalist.",2020.0,12.0
1658,s1659,TV Show,Valentino,missing,"Adel Imam, Dalal Abdelaziz, Hamdy Al-Merghany, Mohamed al-Kilani, Tarek El Ebiary, Huda El Mufti, Soleiman Eid, Badria Tolba, Reda Idrees, Enaam Al-Gritly, Wafaa Sadeq, Rania Mahmoud Yassin",Egypt,2020-11-24,2020,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","As the owner of a group of international schools, a man gets caught in a series of scams as his wife, a principal, rules his life with an iron fist.",2020.0,11.0
